Age Group,Gender,City,Cleanliness of public toilets,Safety of public toilets,Features in public toilets,Public Service Use,Frequency of Public Service Use,Satisfaction of Pulic Transportation,Suggestion for Pulic Transportation,Visting of Local Parks,Frequency of Visting of Local Parks,Important Park amenities,Issues in Park,Safety of Public Transportation,Suggestion for Parks,Satisfaction on Libraries resources,Frequency of Visiting Library,Satisfaction of Local Public Service,Suggestion for Libraries,Suggestion for Local Public Service
51-70 ,Male,Kanakapura,Good,Somewhat safe,Baby-changing facilities,No,Never,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Lack of amenities,Sometimes,Sports equipment rentals,Very dissatisfied,Rarely,Neutral,Language learning programs,Invest in technology
18-35 ,Female,Palamaner,Fair,Neutral,Comfortable seating areas,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Safety and security,Sometimes,Sports equipment rentals,Neutral,Rarely,Dissatisfied,Language learning programs,Enhance community engagement
51-70 ,Female,Mysuru,Fair,Neutral,Comfortable seating areas,No,Never,Very unsatisfied,Increased safety and security,Sometimes,Better maintenance and cleanliness,Restrooms,Crowding and noise,Sometimes,Sports equipment rentals,Satisfied,Quarterly,Dissatisfied,E book access,Improve customer service
18-35 ,Male,Mysuru,Good,Somewhat safe,Free Wi-Fi,No,Once a week,Unsatisfied,Increased safety and security,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Rarely,Satisfied,E book access,Enhance community engagement
18-35 ,Female,Kanakapura,Good,Neutral,Comfortable seating areas,Yes,Never,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Sports facilities,Maintenance and cleanliness,No,Public restrooms,Dissatisfied,Rarely,Dissatisfied,E book access,Improve customer service
51-70 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,Yes,A few times a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Restrooms,Lack of amenities,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Satisfied,E book access,Improve customer service
71-95,Male,Kanakapura,Good,Somewhat safe,Comfortable seating areas,No,A few times a week,Very unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Yes,Electric vehicle charging stations,Neutral,Rarely,Neutral,E book access,Improve customer service
18-35 ,Male,Kanakapura,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Restrooms,Lack of amenities,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Very Dissatisfied,E book access,Invest in technology
18-35 ,Female,Chennai,Good,Neutral,Accessible facilities for people with disabilities,No,Once a week,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Crowding and noise,Yes,Sports equipment rentals,Neutral,Never,Neutral,Language learning programs,Improve customer service
18-35 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,No,Once a week,Neutral,More frequent buses/trains,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very dissatisfied,Quarterly,Neutral,Language learning programs,Improve customer service
51-70 ,Male,Hyderabad,Fair,Very unsafe,Baby-changing facilities,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Safety and security,Sometimes,Sports equipment rentals,Very dissatisfied,Rarely,Dissatisfied,E book access,Invest in technology
36-50 ,Male,Bengaluru,Poor,Very safe,Comfortable seating areas,Yes,A few times a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Male,Kanakapura,Excellent,Neutral,Accessible facilities for people with disabilities,No,Once a week,Very unsatisfied,Increased safety and security,Sometimes,More amenities,Picnic area,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
51-70 ,Female,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,No,Never,Very unsatisfied,Increased safety and security,No,Increased programming and events,Picnic area,Lack of amenities,No,Sports equipment rentals,Very dissatisfied,Quarterly,Neutral,E book access,Improve customer service
36-50 ,Male,Bengaluru,Fair,Very safe,Free Wi-Fi,No,Never,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
36-50 ,Female,Kanakapura,Good,Somewhat unsafe,Comfortable seating areas,No,Once a week,Very unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Restrooms,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,Language learning programs,Invest in technology
18-35 ,Male,Hyderabad,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Once a week,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Restrooms,Lack of amenities,No,Electric vehicle charging stations,Very dissatisfied,Rarely,Dissatisfied,E book access,Invest in technology
18-35 ,Female,Kanakapura,Fair,Somewhat unsafe,Free Wi-Fi,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Sports equipment rentals,Neutral,Rarely,Neutral,E book access,Invest in technology
36-50 ,Male,Kanakapura,Fair,Neutral,Free Wi-Fi,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Rarely,Dissatisfied,Language learning programs,Invest in technology
36-50 ,Male,Bengaluru,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Never,Dissatisfied,Language learning programs,Improve customer service
36-50 ,Female,Hyderabad,Fair,Somewhat safe,Free Wi-Fi,No,A few times a week,Neutral,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Crowding and noise,Yes,Sports equipment rentals,Satisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
51-70 ,Female,Hyderabad,Good,Very safe,Comfortable seating areas,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Sports facilities,Safety and security,Sometimes,Sports equipment rentals,Satisfied,Quarterly,Neutral,E book access,Improve customer service
36-50 ,Female,Mysuru,Fair,Very safe,Comfortable seating areas,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Electric vehicle charging stations,Neutral,Rarely,Very Satisfied,Language learning programs,Enhance community engagement
36-50 ,Female,Palamaner,Poor,Somewhat safe,Baby-changing facilities,No,A few times a week,Satisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Improve customer service
18-35 ,Male,Mysuru,Fair,Somewhat safe,Baby-changing facilities,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Public restrooms,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Male,Kanakapura,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Restrooms,Maintenance and cleanliness,No,Sports equipment rentals,Dissatisfied,Quarterly,Very Dissatisfied,E book access,Improve customer service
18-35 ,Female,Kanakapura,Poor,Somewhat unsafe,Comfortable seating areas,No,Never,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Monthly,Neutral,Language learning programs,Improve customer service
18-35 ,Male,Mysuru,Good,Somewhat safe,Air conditioning or heating,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Rarely,Dissatisfied,Language learning programs,Improve customer service
51-70 ,Female,Bengaluru,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Very unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Crowding and noise,Sometimes,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,Language learning programs,Invest in technology
18-35 ,Female,Hyderabad,Fair,Neutral,Comfortable seating areas,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Picnic area,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Male,Kanakapura,Fair,Neutral,Comfortable seating areas,No,A few times a week,Unsatisfied,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Monthly,Neutral,E book access,Improve customer service
71-95,Male,Bengaluru,Good,Somewhat safe,Free Wi-Fi,Yes,A few times a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Very Satisfied,Weekly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
51-70 ,Female,Hyderabad,Good,Neutral,Comfortable seating areas,No,A few times a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Quarterly,Neutral,E book access,Increase transparency
18-35 ,Male,Bengaluru,Good,Neutral,Free Wi-Fi,No,Never,Neutral,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Safety and security,Yes,Sports equipment rentals,Satisfied,Quarterly,Neutral,Language learning programs,Improve customer service
36-50 ,Female,Bengaluru,Good,Somewhat safe,Comfortable seating areas,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Monthly,Neutral,E book access,Increase transparency
36-50 ,Male,Mysuru,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,A few times a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Invest in technology
36-50 ,Male,Hyderabad,Good,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Safety and security,No,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,E book access,Improve customer service
36-50 ,Male,Chennai,Good,Neutral,Free Wi-Fi,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Playgrounds,Crowding and noise,Sometimes,Sports equipment rentals,Neutral,Weekly,Satisfied,E book access,Invest in technology
36-50 ,Female,Bengaluru,Fair,Very unsafe,Baby-changing facilities,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Playgrounds,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Never,Neutral,Language learning programs,Invest in technology
51-70 ,Female,Bengaluru,Fair,Neutral,Comfortable seating areas,No,Never,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
71-95,Female,Mysuru,Fair,Neutral,Accessible facilities for people with disabilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Neutral,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Female,Kanakapura,Excellent,Neutral,Comfortable seating areas,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Lack of amenities,Yes,Sports equipment rentals,Neutral,Weekly,Neutral,Language learning programs,Invest in technology
18-35 ,Male,Hyderabad,Poor,Very safe,Comfortable seating areas,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
18-35 ,Female,Mysuru,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Male,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Sports facilities,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Monthly,Very Satisfied,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Male,Kanakapura,Fair,Very safe,Free Wi-Fi,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Lack of amenities,Sometimes,Sports equipment rentals,Very Satisfied,Weekly,Satisfied,E book access,Improve customer service
71-95,Female,Mysuru,Good,Somewhat unsafe,Comfortable seating areas,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Neutral,Rarely,Very Dissatisfied,Language learning programs,Improve customer service
18-35 ,Male,Palamaner,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Safety and security,Sometimes,Electric vehicle charging stations,Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement
36-50 ,Male,Hyderabad,Fair,Somewhat unsafe,Free Wi-Fi,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Weekly,Very Satisfied,E book access,Improve customer service
36-50 ,Female,Hyderabad,Fair,Neutral,Free Wi-Fi,No,Once a week,Unsatisfied,Increased safety and security,Yes,Better maintenance and cleanliness,Restrooms,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
18-35 ,Male,Chennai,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Monthly,Neutral,Language learning programs,Invest in technology
36-50 ,Female,Kanakapura,Fair,Somewhat safe,Free Wi-Fi,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Improve customer service
51-70 ,Male,Hyderabad,Good,Very safe,Comfortable seating areas,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Very dissatisfied,Quarterly,Neutral,E book access,Improve customer service
36-50 ,Male,Mysuru,Fair,Very safe,Comfortable seating areas,No,A few times a week,Satisfied,Reduced fares or free transfers,Yes,Increased programming and events,Restrooms,Lack of amenities,No,Electric vehicle charging stations,Neutral,Rarely,Very Dissatisfied,Language learning programs,Improve customer service
36-50 ,Male,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Yes,Increased programming and events,Playgrounds,Lack of amenities,No,Public restrooms,Satisfied,Weekly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Male,Hyderabad,Fair,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Safety and security,Yes,Public restrooms,Satisfied,Quarterly,Very Satisfied,E book access,Enhance community engagement
71-95,Male,Palamaner,Fair,Somewhat unsafe,Free Wi-Fi,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Very Satisfied,Language learning programs,Improve customer service
71-95,Female,Palamaner,Poor,Somewhat unsafe,Comfortable seating areas,Yes,A few times a week,Unsatisfied,Increased safety and security,No,Improved lighting and safety,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Satisfied,Never,Neutral,E book access,Increase transparency
18-35 ,Male,Bengaluru,Good,Somewhat safe,Air conditioning or heating,Yes,Everyday,Satisfied,More frequent buses/trains,No,Better maintenance and cleanliness,Playgrounds,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,Language learning programs,Improve customer service
18-35 ,Male,Kanakapura,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,More frequent buses/trains,Yes,Increased programming and events,Sports facilities,Crowding and noise,Sometimes,Electric vehicle charging stations,Very Satisfied,Quarterly,Neutral,Language learning programs,Invest in technology
71-95,Female,Hyderabad,Fair,Neutral,Comfortable seating areas,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Very dissatisfied,Weekly,Very Satisfied,"DIY workshop(crafting,painting)",Improve customer service
18-35 ,Female,Tirupati,Fair,Neutral,Comfortable seating areas,Yes,A few times a week,Very unsatisfied,Reduced fares or free transfers,No,More amenities,Restrooms,Crowding and noise,No,Sports equipment rentals,Satisfied,Never,Very Satisfied,Language learning programs,Improve customer service
51-70 ,Female,Kanakapura,Good,Somewhat safe,Free Wi-Fi,No,Everyday,Very unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Playgrounds,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,E book access,Increase transparency
18-35 ,Male,Kolkata,Good,Neutral,Comfortable seating areas,Yes,Everyday,Very satisfied,More frequent buses/trains,Yes,Improved lighting and safety,Playgrounds,Safety and security,Yes,Public restrooms,Very Satisfied,Weekly,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Female,Kolkata,Good,Neutral,Free Wi-Fi,Yes,A few times a week,Neutral,Increased safety and security,Sometimes,More amenities,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Male,Kolkata,Good,Somewhat safe,Comfortable seating areas,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Playgrounds,Safety and security,Yes,Public restrooms,Very Satisfied,Monthly,Neutral,Language learning programs,Invest in technology
18-35 ,Female,Kanakapura,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,A few times a week,Satisfied,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Rarely,Neutral,E book access,Improve customer service
18-35 ,Male,Hyderabad,Good,Neutral,Accessible facilities for people with disabilities,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Lack of amenities,Yes,Sports equipment rentals,Neutral,Monthly,Dissatisfied,Language learning programs,Improve customer service
18-35 ,Female,Chennai,Good,Neutral,Free Wi-Fi,Yes,Never,Very satisfied,Increased safety and security,Sometimes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Very Satisfied,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Enhance community engagement
71-95,Female,Tirupati,Fair,Very unsafe,Baby-changing facilities,Yes,Once a week,Neutral,More frequent buses/trains,Sometimes,More amenities,Restrooms,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Satisfied,Language learning programs,Improve customer service
18-35 ,Male,Kolkata,Poor,Very safe,Comfortable seating areas,Yes,Once a week,Neutral,Increased safety and security,Sometimes,Increased programming and events,Sports facilities,Accessibility and inclusivity,No,Public restrooms,Neutral,Quarterly,Neutral,E book access,Improve customer service
18-35 ,Male,Hyderabad,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,Increased safety and security,Yes,More amenities,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Male,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Satisfied,Monthly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
71-95,Female,Mysuru,Fair,Very safe,Free Wi-Fi,No,Never,Satisfied,Reduced fares or free transfers,Sometimes,More amenities,Walking trails,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
71-95,Male,Mysuru,Good,Somewhat unsafe,Comfortable seating areas,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Satisfied,Weekly,Neutral,E book access,Invest in technology
18-35 ,Female,Palamaner,Good,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Satisfied,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Picnic area,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Monthly,Neutral,E book access,Improve customer service
71-95,Male,Bengaluru,Fair,Somewhat unsafe,Free Wi-Fi,No,Once a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,Language learning programs,Improve customer service
18-35 ,Male,Mysuru,Fair,Neutral,Free Wi-Fi,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Neutral,Monthly,Neutral,E book access,Improve customer service
51-70 ,Female,Kanakapura,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Neutral,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Increase transparency
36-50 ,Female,Kolkata,Fair,Somewhat safe,Free Wi-Fi,Yes,A few times a week,Neutral,Reduced fares or free transfers,Yes,More amenities,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Neutral,Monthly,Satisfied,Language learning programs,Improve customer service
18-35 ,Male,Hyderabad,Good,Very safe,Comfortable seating areas,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Maintenance and cleanliness,No,Public restrooms,Dissatisfied,Quarterly,Satisfied,Language learning programs,Invest in technology
18-35 ,Female,Kanakapura,Fair,Very safe,Comfortable seating areas,Yes,Once a week,Satisfied,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
71-95,Male,Hyderabad,Poor,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,No,Public restrooms,Neutral,Quarterly,Neutral,E book access,Improve customer service
36-50 ,Male,Hyderabad,Fair,Somewhat safe,Baby-changing facilities,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Male,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
51-70 ,Female,Kanakapura,Poor,Somewhat unsafe,Comfortable seating areas,No,A few times a week,Unsatisfied,More frequent buses/trains,No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
36-50 ,Male,Hyderabad,Good,Somewhat safe,Air conditioning or heating,Yes,A few times a week,Neutral,Reduced fares or free transfers,Yes,More amenities,Walking trails,Lack of amenities,Yes,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Increase transparency
36-50 ,Female,Kanakapura,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
36-50 ,Male,Hyderabad,Fair,Neutral,Comfortable seating areas,Yes,A few times a week,Neutral,Reduced fares or free transfers,No,More amenities,Sports facilities,Maintenance and cleanliness,No,Sports equipment rentals,Very dissatisfied,Rarely,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
18-35 ,Female,Mysuru,Fair,Neutral,Comfortable seating areas,No,Once a week,Satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Monthly,Neutral,E book access,Improve customer service
18-35 ,Male,Kanakapura,Good,Somewhat safe,Free Wi-Fi,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,Language learning programs,Improve customer service
51-70 ,Female,Chennai,Good,Neutral,Comfortable seating areas,No,Once a week,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Neutral,Quarterly,Neutral,Language learning programs,Increase transparency
18-35 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,Yes,Never,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,E book access,Improve customer service
18-35 ,Male,Hyderabad,Good,Somewhat safe,Comfortable seating areas,Yes,Everyday,Satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,Language learning programs,Improve customer service
18-35 ,Female,Kanakapura,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,No,Public restrooms,Neutral,Rarely,Neutral,"DIY workshop(crafting,painting)",Invest in technology
71-95,Male,Kanakapura,Good,Neutral,Accessible facilities for people with disabilities,Yes,A few times a week,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Sometimes,Public restrooms,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
36-50 ,Female,Kanakapura,Good,Neutral,Free Wi-Fi,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Safety and security,Sometimes,Sports equipment rentals,Very dissatisfied,Quarterly,Satisfied,Language learning programs,Improve customer service
18-35 ,Female,Kanakapura,Fair,Very unsafe,Baby-changing facilities,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Yes,More amenities,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Monthly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
