age_group,gender,city,toilet_cleanliness,toilet_safety,toilet_features,service_use,service_use_freq,transport_satisfaction,transport_suggestions,park_visiting,park_visit_freq,park_amenities,park_issues,transport_safety,park_suggestions,library_satisfaction,library_visit_freq,local_service_satisfaction,library_suggestions,local_service_suggestions,full_feedback,clean_text
36-50 ,Female,Bengaluru,Good,Somewhat unsafe,Comfortable seating areas,Yes,Never,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Monthly,Very Dissatisfied,Language learning programs,Invest in technology,Increased safety and security Electric vehicle charging stations Language learning programs Invest in technology Very Dissatisfied Good Somewhat unsafe Yes Unsatisfied,increase safety security electric vehicle charge station language learning program invest technology dissatisfied good somewhat unsafe yes unsatisfie
51-70 ,Male,Chennai,Good,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,Increased safety and security,Yes,Increased programming and events,Restrooms,Maintenance and cleanliness,No,Electric vehicle charging stations,Very dissatisfied,Weekly,Satisfied,Language learning programs,Increase transparency,Increased safety and security Electric vehicle charging stations Language learning programs Increase transparency Satisfied Good Somewhat safe No Unsatisfied,increase safety security electric vehicle charge station language learning program increase transparency satisfied good somewhat safe unsatisfied
36-50 ,Female,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Never,Very satisfied,"Cleaner, more comfortable vehicles",Sometimes,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Very dissatisfied,Never,Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Enhance community engagement Satisfied Fair Somewhat unsafe Yes Very satisfied",clean comfortable vehicle sport equipment rental diy painting enhance community engagement satisfied fair somewhat unsafe yes satisfied
51-70 ,Male,Bengaluru,Fair,Neutral,Free Wi-Fi,No,Everyday,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Safety and security,No,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,Language learning programs,Increase transparency,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Increase transparency Neutral Fair Neutral No Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program increase transparency neutral fair neutral unsatisfied
Oct-18,Male,Andhra Pradesh,Good,Somewhat safe,Baby-changing facilities,Yes,Everyday,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Monthly,Satisfied,Language learning programs,Invest in technology,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Invest in technology Satisfied Good Somewhat safe Yes Unsatisfied,reduce fare free transfer electric vehicle charge station language learning program invest technology satisfied good somewhat safe yes unsatisfie
36-50 ,Female,Palamaner,Fair,Somewhat safe,Free Wi-Fi,Yes,Once a week,Very satisfied,Increased safety and security,No,Better maintenance and cleanliness,Playgrounds,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Dissatisfied,E book access,Enhance community engagement,Increased safety and security Electric vehicle charging stations E book access Enhance community engagement Very Dissatisfied Fair Somewhat safe Yes Very satisfied,increase safety security electric vehicle charge station e book access enhance community engagement dissatisfied fair somewhat safe yes satisfied
18-35 ,Female,Hyderabad,Good,Very safe,Comfortable seating areas,No,Everyday,Satisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Weekly,Dissatisfied,Language learning programs,Increase transparency,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Increase transparency Dissatisfied Good Very safe No Satisfied,reduce fare free transfer electric vehicle charge station language learning program increase transparency dissatisfied good safe satisfied
18-35 ,Female,Chennai,Fair,Very safe,Comfortable seating areas,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Sports facilities,Accessibility and inclusivity,No,Public restrooms,Neutral,Quarterly,Satisfied,E book access,Invest in technology,More frequent buses/trains Public restrooms E book access Invest in technology Satisfied Fair Very safe Yes Neutral,frequent bus train public restroom e book access invest technology satisfied fair safe yes neutral
18-35 ,Female,Mysuru,Poor,Somewhat safe,Baby-changing facilities,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Enhance community engagement,Reduced fares or free transfers Electric vehicle charging stations E book access Enhance community engagement Very Dissatisfied Poor Somewhat safe Yes Unsatisfied,reduce fare free transfer electric vehicle charge station e book access enhance community engagement dissatisfied poor somewhat safe yes unsatisfie
Oct-18,Female,Mysuru,Fair,Somewhat safe,Baby-changing facilities,Yes,Once a week,Satisfied,Increased safety and security,Yes,More amenities,Picnic area,Maintenance and cleanliness,No,Public restrooms,Satisfied,Weekly,Neutral,E book access,Improve customer service,Increased safety and security Public restrooms E book access Improve customer service Neutral Fair Somewhat safe Yes Satisfied,increase safety security public restroom e book access improve customer service neutral fair somewhat safe yes satisfied
Oct-18,Male,Hyderabad,Fair,Somewhat unsafe,Free Wi-Fi,No,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Safety and security,No,Public restrooms,Satisfied,Never,Satisfied,Language learning programs,Invest in technology,Reduced fares or free transfers Public restrooms Language learning programs Invest in technology Satisfied Fair Somewhat unsafe No Unsatisfied,reduce fare free transfer public restroom language learning program invest technology satisfied fair somewhat unsafe unsatisfied
36-50 ,Female,Palamaner,Poor,Somewhat unsafe,Comfortable seating areas,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Playgrounds,Lack of amenities,No,Public restrooms,Very dissatisfied,Rarely,Neutral,E book access,Invest in technology,"Cleaner, more comfortable vehicles Public restrooms E book access Invest in technology Neutral Poor Somewhat unsafe No Neutral",clean comfortable vehicle public restroom e book access invest technology neutral poor somewhat unsafe neutral
36-50 ,Female,Bengaluru,Good,Somewhat safe,Air conditioning or heating,Yes,Once a week,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Restrooms,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Dissatisfied Good Somewhat safe Yes Very satisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service dissatisfied good somewhat safe yes satisfied
36-50 ,Male,Mysuru,Good,Somewhat safe,Baby-changing facilities,No,Once a week,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Safety and security,No,Public restrooms,Satisfied,Quarterly,Neutral,Language learning programs,Improve customer service,Reduced fares or free transfers Public restrooms Language learning programs Improve customer service Neutral Good Somewhat safe No Very satisfied,reduce fare free transfer public restroom language learning program improve customer service neutral good somewhat safe satisfied
36-50 ,Female,Hyderabad,Fair,Neutral,Comfortable seating areas,No,Everyday,Very satisfied,More frequent buses/trains,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Rarely,Dissatisfied,E book access,Enhance community engagement,More frequent buses/trains Electric vehicle charging stations E book access Enhance community engagement Dissatisfied Fair Neutral No Very satisfied,frequent bus train electric vehicle charge station e book access enhance community engagement dissatisfy fair neutral satisfied
36-50 ,Male,Kanakapura,Fair,Neutral,Comfortable seating areas,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Restrooms,Lack of amenities,No,Public restrooms,Very Satisfied,Rarely,Neutral,E book access,Enhance community engagement,"Cleaner, more comfortable vehicles Public restrooms E book access Enhance community engagement Neutral Fair Neutral No Satisfied",clean comfortable vehicle public restroom e book access enhance community engagement neutral fair neutral satisfied
18-35 ,Female,Chennai,Good,Somewhat safe,Free Wi-Fi,No,A few times a week,Satisfied,Increased safety and security,Yes,Increased programming and events,Walking trails,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Neutral,Never,Dissatisfied,Language learning programs,Enhance community engagement,Increased safety and security Sports equipment rentals Language learning programs Enhance community engagement Dissatisfied Good Somewhat safe No Satisfied,increase safety security sport equipment rental language learning program enhance community engagement dissatisfied good somewhat safe satisfied
36-50 ,Female,Bengaluru,Good,Neutral,Comfortable seating areas,No,A few times a week,Unsatisfied,Increased safety and security,Yes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Satisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology,Increased safety and security Sports equipment rentals Language learning programs Invest in technology Dissatisfied Good Neutral No Unsatisfied,increase safety security sport equipment rental language learning program invest technology dissatisfied good neutral unsatisfied
51-70 ,Female,Chennai,Good,Neutral,Free Wi-Fi,Yes,Once a week,Neutral,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,E book access,Improve customer service,Reduced fares or free transfers Sports equipment rentals E book access Improve customer service Dissatisfied Good Neutral Yes Neutral,reduce fare free transfer sport equipment rental e book access improve customer service dissatisfied good neutral yes neutral
18-35 ,Female,Hyderabad,Good,Somewhat safe,Comfortable seating areas,No,Never,Unsatisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Sports facilities,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Satisfied,E book access,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations E book access Improve customer service Satisfied Good Somewhat safe No Unsatisfied,reduce fare free transfer electric vehicle charge station e book access improve customer service satisfied good somewhat safe unsatisfied
51-70 ,Male,Palamaner,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,Never,Neutral,More frequent buses/trains,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement,"More frequent buses/trains Electric vehicle charging stations DIY workshop(crafting,painting) Enhance community engagement Very Satisfied Excellent Somewhat unsafe Yes Neutral",frequent bus train electric vehicle charge station diy painting enhance community engagement satisfied excellent somewhat unsafe yes neutral
51-70 ,Female,Hyderabad,Good,Neutral,Accessible facilities for people with disabilities,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Very Satisfied Good Neutral No Neutral",clean comfortable vehicle electric vehicle charge station diy painting invest technology satisfied good neutral neutral
36-50 ,Female,Bengaluru,Good,Neutral,Free Wi-Fi,Yes,Once a week,Unsatisfied,Increased safety and security,Yes,Increased programming and events,Walking trails,Crowding and noise,Sometimes,Electric vehicle charging stations,Dissatisfied,Monthly,Neutral,E book access,Increase transparency,Increased safety and security Electric vehicle charging stations E book access Increase transparency Neutral Good Neutral Yes Unsatisfied,increase safety security electric vehicle charge station e book access increase transparency neutral good neutral yes unsatisfie
Oct-18,Male,Hyderabad,Fair,Very unsafe,Baby-changing facilities,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Restrooms,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,"DIY workshop(crafting,painting)",Increase transparency,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Increase transparency Satisfied Fair Very unsafe No Satisfied",clean comfortable vehicle electric vehicle charge station diy painting increase transparency satisfied fair unsafe satisfied
18-35 ,Female,Hyderabad,Poor,Very safe,Comfortable seating areas,No,Never,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Never,Satisfied,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Improve customer service Satisfied Poor Very safe No Satisfied",clean comfortable vehicle electric vehicle charge station language learning program improve customer service satisfy poor safe satisfied
51-70 ,Male,Kanakapura,Excellent,Neutral,Accessible facilities for people with disabilities,No,A few times a week,Satisfied,Reduced fares or free transfers,Yes,More amenities,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Very dissatisfied,Never,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Very Dissatisfied Excellent Neutral No Satisfied",reduce fare free transfer electric vehicle charge station diy painting improve customer service dissatisfied excellent neutral satisfied
36-50 ,Male,Bengaluru,Poor,Somewhat safe,Baby-changing facilities,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Very dissatisfied,Quarterly,Very Dissatisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Very Dissatisfied Poor Somewhat safe Yes Unsatisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service dissatisfied poor somewhat safe yes unsatisfie
51-70 ,Female,Mysuru,Fair,Very safe,Free Wi-Fi,No,Once a week,Satisfied,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Weekly,Neutral,"DIY workshop(crafting,painting)",Improve customer service,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Neutral Fair Very safe No Satisfied",reduce fare free transfer electric vehicle charge station diy painting improve customer service neutral fair safe satisfied
18-35 ,Male,Hyderabad,Good,Somewhat unsafe,Comfortable seating areas,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Neutral Good Somewhat unsafe Yes Neutral",clean comfortable vehicle electric vehicle charge station diy painting improve customer service neutral good somewhat unsafe yes neutral
18-35 ,Male,Mysuru,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Very Satisfied,E book access,Increase transparency,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Increase transparency Very Satisfied Good Somewhat safe Yes Neutral",clean comfortable vehicle sport equipment rental e book access increase transparency satisfied good somewhat safe yes neutral
36-50 ,Female,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Increase transparency Satisfied Fair Somewhat unsafe Yes Neutral",clean comfortable vehicle electric vehicle charge station diy painting increase transparency satisfied fair somewhat unsafe yes neutral
18-35 ,Male,Bengaluru,Fair,Neutral,Free Wi-Fi,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Improve customer service Neutral Fair Neutral No Satisfied",clean comfortable vehicle sport equipment rental diy painting improve customer service neutral fair neutral satisfied
18-35 ,Male,Chennai,Good,Somewhat safe,Baby-changing facilities,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Rarely,Neutral,E book access,Increase transparency,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Increase transparency Neutral Good Somewhat safe Yes Neutral",clean comfortable vehicle electric vehicle charge station e book access increase transparency neutral good somewhat safe yes neutral
36-50 ,Male,Mysuru,Fair,Somewhat safe,Free Wi-Fi,No,Once a week,Satisfied,More frequent buses/trains,No,Improved lighting and safety,Playgrounds,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency,"More frequent buses/trains Electric vehicle charging stations DIY workshop(crafting,painting) Increase transparency Neutral Fair Somewhat safe No Satisfied",frequent bus train electric vehicle charge station diy painting increase transparency neutral fair somewhat safe satisfied
36-50 ,Female,Palamaner,Good,Very safe,Comfortable seating areas,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Rarely,Satisfied,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals Language learning programs Improve customer service Satisfied Good Very safe Yes Neutral",clean comfortable vehicle sport equipment rental language learning program improve customer service satisfied good safe yes neutral
18-35 ,Male,Hyderabad,Fair,Very safe,Comfortable seating areas,Yes,Never,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Safety and security,No,Public restrooms,Very Satisfied,Quarterly,Neutral,E book access,Enhance community engagement,"Cleaner, more comfortable vehicles Public restrooms E book access Enhance community engagement Neutral Fair Very safe Yes Neutral",clean comfortable vehicle public restroom e book access enhance community engagement neutral fair safe yes neutral
36-50 ,Male,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Dissatisfied Poor Somewhat safe No Satisfied",clean comfortable vehicle sport equipment rental e book access improve customer service dissatisfied poor somewhat safe satisfied
18-35 ,Male,Mysuru,Fair,Somewhat safe,Baby-changing facilities,No,Once a week,Neutral,Reduced fares or free transfers,Yes,More amenities,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Dissatisfied,Rarely,Neutral,E book access,Improve customer service,Reduced fares or free transfers Sports equipment rentals E book access Improve customer service Neutral Fair Somewhat safe No Neutral,reduce fare free transfer sport equipment rental e book access improve customer service neutral fair somewhat safe neutral
18-35 ,Male,Hyderabad,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Playgrounds,Accessibility and inclusivity,Yes,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Invest in technology Neutral Fair Somewhat unsafe Yes Satisfied",clean comfortable vehicle sport equipment rental e book access invest technology neutral fair somewhat unsafe yes satisfied
36-50 ,Male,Chennai,Poor,Somewhat unsafe,Comfortable seating areas,No,A few times a week,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Weekly,Dissatisfied,Language learning programs,Invest in technology,Increased safety and security Electric vehicle charging stations Language learning programs Invest in technology Dissatisfied Poor Somewhat unsafe No Unsatisfied,increase safety security electric vehicle charge station language learning program invest technology dissatisfied poor somewhat unsafe unsatisfied
51-70 ,Female,Bengaluru,Good,Somewhat safe,Air conditioning or heating,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Crowding and noise,Yes,Electric vehicle charging stations,Satisfied,Weekly,Neutral,Language learning programs,Increase transparency,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Increase transparency Neutral Good Somewhat safe Yes Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program increase transparency neutral good somewhat safe yes unsatisfie
36-50 ,Female,Hyderabad,Good,Somewhat safe,Baby-changing facilities,No,Never,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Enhance community engagement,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Enhance community engagement Satisfied Good Somewhat safe No Neutral",clean comfortable vehicle sport equipment rental e book access enhance community engagement satisfied good somewhat safe neutral
51-70 ,Female,Tirupati,Fair,Neutral,Comfortable seating areas,No,A few times a week,Neutral,Increased safety and security,Sometimes,More amenities,Picnic area,Lack of amenities,Yes,Sports equipment rentals,Very Satisfied,Monthly,Dissatisfied,E book access,Increase transparency,Increased safety and security Sports equipment rentals E book access Increase transparency Dissatisfied Fair Neutral No Neutral,increase safety security sport equipment rental e book access increase transparency dissatisfy fair neutral neutral
51-70 ,Female,Andhra Pradesh,Fair,Neutral,Comfortable seating areas,No,Once a week,Neutral,More frequent buses/trains,No,Increased programming and events,Walking trails,Crowding and noise,No,Public restrooms,Dissatisfied,Rarely,Dissatisfied,E book access,Invest in technology,More frequent buses/trains Public restrooms E book access Invest in technology Dissatisfied Fair Neutral No Neutral,frequent bus train public restroom e book access invest technology dissatisfied fair neutral neutral
36-50 ,Male,Kanakapura,Good,Somewhat safe,Free Wi-Fi,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Monthly,Satisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Satisfied Good Somewhat safe No Unsatisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service satisfied good somewhat safe unsatisfied
18-35 ,Female,Chennai,Good,Neutral,Comfortable seating areas,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Satisfied,Quarterly,Very Dissatisfied,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Improve customer service Very Dissatisfied Good Neutral No Neutral",clean comfortable vehicle electric vehicle charge station language learning program improve customer service dissatisfied good neutral neutral
18-35 ,Female,Palamaner,Good,Neutral,Free Wi-Fi,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Monthly,Very Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Increase transparency Very Dissatisfied Good Neutral No Satisfied",clean comfortable vehicle electric vehicle charge station diy painting increase transparency dissatisfied good neutral satisfied
36-50 ,Female,Kanakapura,Good,Somewhat safe,Comfortable seating areas,No,A few times a week,Very unsatisfied,Increased safety and security,Yes,Increased programming and events,Walking trails,Crowding and noise,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Increased safety and security Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Satisfied Good Somewhat safe No Very unsatisfied",increase safety security electric vehicle charge station diy painting invest technology satisfied good somewhat safe unsatisfied
18-35 ,Female,Chennai,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Monthly,Neutral,Language learning programs,Invest in technology,Reduced fares or free transfers Sports equipment rentals Language learning programs Invest in technology Neutral Excellent Somewhat unsafe Yes Very satisfied,reduce fare free transfer sport equipment rental language learning program invest technology neutral excellent somewhat unsafe yes satisfied
Oct-18,Female,Andhra Pradesh,Good,Neutral,Accessible facilities for people with disabilities,No,Once a week,Satisfied,More frequent buses/trains,Sometimes,Increased programming and events,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Dissatisfied,Language learning programs,Increase transparency,More frequent buses/trains Electric vehicle charging stations Language learning programs Increase transparency Dissatisfied Good Neutral No Satisfied,frequent bus train electric vehicle charge station language learning program increase transparency dissatisfied good neutral satisfied
Oct-18,Female,Chennai,Good,Neutral,Free Wi-Fi,No,A few times a week,Very satisfied,Reduced fares or free transfers,No,More amenities,Sports facilities,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Satisfied,Monthly,Very Satisfied,"DIY workshop(crafting,painting)",Improve customer service,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Very Satisfied Good Neutral No Very satisfied",reduce fare free transfer electric vehicle charge station diy painting improve customer service satisfied good neutral satisfied
18-35 ,Male,Palamaner,Fair,Very unsafe,Baby-changing facilities,No,Once a week,Neutral,More frequent buses/trains,No,More amenities,Walking trails,Accessibility and inclusivity,No,Public restrooms,Dissatisfied,Quarterly,Very Dissatisfied,E book access,Increase transparency,More frequent buses/trains Public restrooms E book access Increase transparency Very Dissatisfied Fair Very unsafe No Neutral,frequent bus train public restroom e book access increase transparency dissatisfied fair unsafe neutral
Oct-18,Female,Hyderabad,Fair,Neutral,Comfortable seating areas,No,Once a week,Unsatisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Picnic area,Lack of amenities,Yes,Public restrooms,Very Satisfied,Never,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Reduced fares or free transfers Public restrooms DIY workshop(crafting,painting) Invest in technology Very Satisfied Fair Neutral No Unsatisfied",reduce fare free transfer public restroom diy painting invest technology satisfied fair neutral unsatisfied
36-50 ,Male,Mysuru,Fair,Neutral,Accessible facilities for people with disabilities,Yes,A few times a week,Very satisfied,More frequent buses/trains,No,Better maintenance and cleanliness,Restrooms,Crowding and noise,No,Sports equipment rentals,Satisfied,Never,Neutral,E book access,Increase transparency,More frequent buses/trains Sports equipment rentals E book access Increase transparency Neutral Fair Neutral Yes Very satisfied,frequent bus train sport equipment rental e book access increase transparency neutral fair neutral yes satisfied
36-50 ,Male,Tirupati,Excellent,Neutral,Comfortable seating areas,No,Once a week,Very satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,E book access,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Invest in technology Neutral Excellent Neutral No Very satisfied",clean comfortable vehicle electric vehicle charge station e book access invest technology neutral excellent neutral satisfied
Oct-18,Female,Palamaner,Poor,Very safe,Comfortable seating areas,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Accessibility and inclusivity,No,Public restrooms,Dissatisfied,Never,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Public restrooms E book access Improve customer service Neutral Poor Very safe Yes Unsatisfied",clean comfortable vehicle public restroom e book access improve customer service neutral poor safe yes unsatisfie
18-35 ,Female,Hyderabad,Excellent,Neutral,Accessible facilities for people with disabilities,No,Everyday,Very unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Lack of amenities,Yes,Sports equipment rentals,Satisfied,Rarely,Neutral,E book access,Improve customer service,Reduced fares or free transfers Sports equipment rentals E book access Improve customer service Neutral Excellent Neutral No Very unsatisfied,reduce fare free transfer sport equipment rental e book access improve customer service neutral excellent neutral unsatisfied
18-35 ,Male,Kanakapura,Poor,Somewhat safe,Baby-changing facilities,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Improved lighting and safety,Restrooms,Safety and security,Yes,Public restrooms,Dissatisfied,Quarterly,Satisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Public restrooms E book access Improve customer service Satisfied Poor Somewhat safe No Satisfied",clean comfortable vehicle public restroom e book access improve customer service satisfy poor somewhat safe satisfied
