Timestamp,Age,Gender,City,How would you rate the overall cleanliness of the public toilets you have used in the past month?,How safe do you feel when using public toilets ?,What features would you like to see in public toilets to make them more comfortable and convenient? ,"Do you have public services like buses, parks , or libraries?","How often do you use public transportation (buses, trains,etc.)?",How satisfied are you with the public transportation in your area?,What changes would you like to see in public transportation?,Do you visit parks in your area?,What would make you more likely to visit local parks?,Which park amenities are most important to you?,What is the most significant issue or concern you face when visiting local parks? ,Do you feel safe using public transportation in your area?,Are there any new service you'd like to see in local parks? ,How satisfied are you with the services and resources offered by local libraries?, How often do you visit the library?,How satisfied are you with local public services overall?,What types of programs or services would you like to see offered at local libraries?, Do you have any suggestions for improving local public services?
49:02.7,36-50 years,Male,mysuru,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
49:21.0,18-35 years,Female,mysuru,,,,Yes,A few times a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,E book access,Improve customer service
49:39.6,51-70 years,Male,mysuru,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Lack of amenities,Yes,Public restrooms,Neutral,Quarterly,Satisfied,E book access,Increase transparency
49:55.3,51-70 years,Male,kanakapura,,,,Yes,Once a week,Neutral,More frequent buses/trains,No,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,Language learning programs,Improve customer service
50:12.9,36-50 years,Male,mysuru,,,,Yes,Once a week,Satisfied,Increased safety and security,Yes,Better maintenance and cleanliness,Walking trails,Crowding and noise,No,Public restrooms,Neutral,Monthly,Neutral,Language learning programs,Improve customer service
50:29.0,18-35 years,Male,mysuru,,,,Yes,Once a week,Satisfied,Increased safety and security,Yes,More amenities,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Neutral,Weekly,Dissatisfied,Language learning programs,Enhance community engagement
50:34.3,36-50 years,Male,kanakapura,,,,Yes,Everyday,Neutral,Reduced fares or free transfers,No,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Monthly,Neutral,E book access,Invest in technology
50:53.2,10-18 years,Male,mysuru,,,,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Neutral,Language learning programs,Improve customer service
51:11.5,18-35 years,Male,mysuru,,,,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Playgrounds,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Monthly,Satisfied,E book access,Improve customer service
51:59.2,36-50 years,Male,Hyderabad,,,,No,Never,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Lack of amenities,No,Sports equipment rentals,Satisfied,Monthly,Dissatisfied,Language learning programs,Improve customer service
55:57.9,51-70 years,Female,mysuru,,,,Yes,A few times a week,Satisfied,Increased safety and security,No,Increased programming and events,Sports facilities,Safety and security,Sometimes,Public restrooms,Very dissatisfied,Weekly,Very Satisfied,"DIY workshop(crafting,painting)",Improve customer service
56:55.6,18-35 years,Female,Bengaluru,,,,Yes,Everyday,Satisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Neutral,Rarely,Dissatisfied,"DIY workshop(crafting,painting)",Enhance community engagement
57:05.0,18-35 years,Male,Hyderabad,,,,Yes,Everyday,Very unsatisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Monthly,Very Dissatisfied,E book access,Enhance community engagement
59:07.9,18-35 years,Female,Bengaluru,,,,No,Once a week,Neutral,Increased safety and security,No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Dissatisfied,Never,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
01:34.2,36-50 years,Female,Andhra pradesh,,,,Yes,Once a week,Neutral,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Crowding and noise,Yes,Public restrooms,Satisfied,Monthly,Satisfied,Language learning programs,Improve customer service
03:13.2,10-18 years,Female,palamaner,,,,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Restrooms,Safety and security,No,Public restrooms,Satisfied,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
04:25.3,51-70 years,Female,kanakapura,,,,No,Never,Very satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Lack of amenities,No,Public restrooms,Satisfied,Weekly,Very Satisfied,"DIY workshop(crafting,painting)",Improve customer service
06:17.1,18-35 years,Female,chennai,,,,Yes,Once a week,Neutral,Increased safety and security,No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Public restrooms,Neutral,Quarterly,Satisfied,E book access,Improve customer service
09:14.0,18-35 years,Male,Hyderabad,,,,Yes,A few times a week,Satisfied,Increased safety and security,No,Increased programming and events,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Rarely,Satisfied,E book access,Invest in technology
11:51.7,18-35 years,Male,chennai,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Very Satisfied,Never,Very Satisfied,E book access,Invest in technology
13:31.7,18-35 years,Female,kanakapura,,,,Yes,A few times a week,Unsatisfied,Increased safety and security,Sometimes,More amenities,Sports facilities,Maintenance and cleanliness,No,Public restrooms,Neutral,Monthly,Neutral,Language learning programs,Invest in technology
14:20.5,18-35 years,Male,Hyderabad,,,,Yes,Once a week,Very satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,E book access,Improve customer service
17:34.0,51-70 years,Female,palamaner,,,,No,Once a week,Very satisfied,Increased safety and security,No,Increased programming and events,Walking trails,Crowding and noise,Sometimes,Public restrooms,Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
19:30.8,36-50 years,Male,Tirupati,,,,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Very Satisfied,Never,Dissatisfied,E book access,Improve customer service
19:40.2,18-35 years,Female,mysuru,,,,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Restrooms,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Quarterly,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
19:53.5,18-35 years,Male,kanakapura,,,,Yes,Everyday,Very satisfied,More frequent buses/trains,No,Increased programming and events,Picnic area,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Weekly,Neutral,E book access,Invest in technology
22:09.6,18-35 years,Female,Hyderabad,,,,Yes,Once a week,Neutral,More frequent buses/trains,Yes,More amenities,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Weekly,Satisfied,E book access,Invest in technology
22:42.9,10-18 years,Male,chennai,,,,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Monthly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
23:46.4,18-35 years,Male,palamaner,,,,No,A few times a week,Unsatisfied,More frequent buses/trains,No,More amenities,Playgrounds,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Rarely,Neutral,Language learning programs,Invest in technology
24:17.4,36-50 years,Female,Hyderabad,,,,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Sports facilities,Safety and security,Yes,Electric vehicle charging stations,Neutral,Rarely,Very Satisfied,E book access,Invest in technology
25:10.2,36-50 years,Female,mysuru,,,,Yes,Everyday,Satisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
26:09.4,36-50 years,Female,palamaner,,,,No,Everyday,Very unsatisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Weekly,Satisfied,Language learning programs,Invest in technology
28:00.7,18-35 years,Female,chennai,,,,No,Once a week,Satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Safety and security,Yes,Electric vehicle charging stations,Satisfied,Rarely,Dissatisfied,E book access,Improve customer service
13:38.8,18-35 years,Male,Tirupati,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Crowding and noise,No,Sports equipment rentals,Satisfied,Never,Neutral,"DIY workshop(crafting,painting)",Enhance community engagement
14:01.3,36-50 years,Male,Andhra pradesh,,,,No,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Neutral,Monthly,Very Satisfied,E book access,Improve customer service
14:19.2,36-50 years,Male,chennai,,,,No,A few times a week,Very unsatisfied,Increased safety and security,No,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Dissatisfied,Never,Dissatisfied,Language learning programs,Improve customer service
15:37.1,10-18 years,Male,Tirupati,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Playgrounds,Lack of amenities,Sometimes,Electric vehicle charging stations,Neutral,Monthly,Satisfied,E book access,Improve customer service
44:52.4,18-35 years,Male,kanakapura,,,,No,Once a week,Very satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Lack of amenities,Sometimes,Public restrooms,Dissatisfied,Rarely,Very Satisfied,E book access,Improve customer service
23:11.6,18-35 years,Female,Andhra pradesh,,,,Yes,Once a week,Very satisfied,Increased safety and security,No,More amenities,Sports facilities,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Dissatisfied,Monthly,Very Satisfied,E book access,Improve customer service
24:11.8,18-35 years,Female,kanakapura,,,,No,Once a week,Neutral,Reduced fares or free transfers,No,More amenities,Sports facilities,Lack of amenities,Yes,Public restrooms,Satisfied,Monthly,Neutral,Language learning programs,Increase transparency
26:47.9,18-35 years,Male,Andhra pradesh,,,,No,A few times a week,Very satisfied,Increased safety and security,Yes,More amenities,Sports facilities,Safety and security,Yes,Electric vehicle charging stations,Very dissatisfied,Monthly,Satisfied,E book access,Improve customer service
30:17.3,10-18 years,Male,Andhra pradesh,,,,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Satisfied,Language learning programs,Improve customer service
31:07.4,18-35 years,Female,chennai,,,,No,Once a week,Unsatisfied,Reduced fares or free transfers,Yes,Improved lighting and safety,Restrooms,Lack of amenities,No,Electric vehicle charging stations,Dissatisfied,Monthly,Dissatisfied,E book access,Invest in technology
34:59.6,10-18 years,Male,mysuru,,,,No,A few times a week,Very unsatisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Public restrooms,Very dissatisfied,Never,Satisfied,Language learning programs,Increase transparency
35:00.2,18-35 years,Female,Bengaluru,,,,Yes,Everyday,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Public restrooms,Dissatisfied,Monthly,Satisfied,E book access,Increase transparency
35:00.8,18-35 years,Male,Andhra pradesh,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Never,Satisfied,E book access,Invest in technology
35:38.2,18-35 years,Female,mysuru,,,,No,Never,Satisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Lack of amenities,No,Public restrooms,Satisfied,Rarely,Dissatisfied,E book access,Invest in technology
36:25.3,10-18 years,Male,chennai,,,,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Monthly,Very Satisfied,E book access,Enhance community engagement
37:28.7,18-35 years,Female,Andhra pradesh,,,,No,Never,Neutral,Increased safety and security,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Very Satisfied,E book access,Improve customer service
38:50.5,51-70 years,Female,mysuru,,,,No,A few times a week,Neutral,More frequent buses/trains,No,Increased programming and events,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
39:13.0,36-50 years,Male,palamaner,,,,No,A few times a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Sports facilities,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Very Satisfied,Language learning programs,Improve customer service
40:06.7,51-70 years,Male,Bengaluru,,,,No,Everyday,Satisfied,Reduced fares or free transfers,Sometimes,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,Sometimes,Public restrooms,Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
40:46.5,10-18 years,Female,palamaner,,,,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,Language learning programs,Invest in technology
41:35.4,36-50 years,Female,mysuru,,,,No,A few times a week,Satisfied,Increased safety and security,No,More amenities,Walking trails,Safety and security,Sometimes,Sports equipment rentals,Very dissatisfied,Monthly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
46:14.3,51-70 years,Female,Bengaluru,,,,No,Everyday,Satisfied,More frequent buses/trains,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Rarely,Dissatisfied,E book access,Enhance community engagement
46:52.3,36-50 years,Female,chennai,,,,Yes,A few times a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Lack of amenities,No,Sports equipment rentals,Satisfied,Quarterly,Dissatisfied,E book access,Enhance community engagement
47:05.9,18-35 years,Female,chennai,,,,No,Everyday,Very unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,E book access,Invest in technology
48:13.9,36-50 years,Male,kanakapura,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Sports facilities,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Rarely,Very Dissatisfied,E book access,Invest in technology
48:27.0,51-70 years,Male,mysuru,,,,Yes,Never,Unsatisfied,More frequent buses/trains,Sometimes,Increased programming and events,Sports facilities,Lack of amenities,No,Sports equipment rentals,Very dissatisfied,Quarterly,Satisfied,E book access,Enhance community engagement
53:45.0,36-50 years,Female,Bengaluru,,,,Yes,Never,Unsatisfied,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Monthly,Very Dissatisfied,Language learning programs,Invest in technology
56:45.3,51-70 years,Male,chennai,,,,No,A few times a week,Unsatisfied,Increased safety and security,Yes,Increased programming and events,Restrooms,Maintenance and cleanliness,No,Electric vehicle charging stations,Very dissatisfied,Weekly,Satisfied,Language learning programs,Increase transparency
57:57.8,36-50 years,Female,mysuru,,,,Yes,Never,Very satisfied,"Cleaner, more comfortable vehicles",Sometimes,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Very dissatisfied,Never,Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement
58:14.7,51-70 years,Male,Bengaluru,,,,No,Everyday,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Safety and security,No,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,Language learning programs,Increase transparency
58:47.1,10-18 years,Male,Andhra pradesh,,,,Yes,Everyday,Unsatisfied,Reduced fares or free transfers,No,Improved lighting and safety,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Monthly,Satisfied,Language learning programs,Invest in technology
29:43.8,36-50 years,Female,palamaner,,,,Yes,Once a week,Very satisfied,Increased safety and security,No,Better maintenance and cleanliness,Playgrounds,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Dissatisfied,E book access,Enhance community engagement
32:59.5,18-35 years,Female,Hyderabad,,,,No,Everyday,Satisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Weekly,Dissatisfied,Language learning programs,Increase transparency
47:27.3,18-35 years,Female,chennai,,,,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,Increased programming and events,Sports facilities,Accessibility and inclusivity,No,Public restrooms,Neutral,Quarterly,Satisfied,E book access,Invest in technology
48:05.5,18-35 years,Female,mysuru,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Enhance community engagement
48:44.5,10-18 years,Female,mysuru,,,,Yes,Once a week,Satisfied,Increased safety and security,Yes,More amenities,Picnic area,Maintenance and cleanliness,No,Public restrooms,Satisfied,Weekly,Neutral,E book access,Improve customer service
49:51.1,10-18 years,Male,Hyderabad,,,,No,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Safety and security,No,Public restrooms,Satisfied,Never,Satisfied,Language learning programs,Invest in technology
51:34.9,36-50 years,Female,palamaner,,,,No,Everyday,Neutral,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Playgrounds,Lack of amenities,No,Public restrooms,Very dissatisfied,Rarely,Neutral,E book access,Invest in technology
54:38.3,36-50 years,Female,Bengaluru,,,,Yes,Once a week,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Restrooms,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,E book access,Improve customer service
55:02.3,36-50 years,Male,mysuru,,,,No,Once a week,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Safety and security,No,Public restrooms,Satisfied,Quarterly,Neutral,Language learning programs,Improve customer service
05:46.8,36-50 years,Female,Hyderabad,,,,No,Everyday,Very satisfied,More frequent buses/trains,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Rarely,Dissatisfied,E book access,Enhance community engagement
08:08.4,36-50 years,Male,kanakapura,,,,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Restrooms,Lack of amenities,No,Public restrooms,Very Satisfied,Rarely,Neutral,E book access,Enhance community engagement
08:26.6,18-35 years,Female,chennai,,,,No,A few times a week,Satisfied,Increased safety and security,Yes,Increased programming and events,Walking trails,Maintenance and cleanliness,Sometimes,Sports equipment rentals,Neutral,Never,Dissatisfied,Language learning programs,Enhance community engagement
12:17.7,36-50 years,Female,Bengaluru,,,,No,A few times a week,Unsatisfied,Increased safety and security,Yes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Satisfied,Quarterly,Dissatisfied,Language learning programs,Invest in technology
15:31.7,51-70 years,Female,chennai,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,E book access,Improve customer service
17:05.0,18-35 years,Female,Hyderabad,,,,No,Never,Unsatisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Sports facilities,Crowding and noise,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Satisfied,E book access,Improve customer service
17:45.4,51-70 years,Male,palamaner,,,,Yes,Never,Neutral,More frequent buses/trains,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement
19:21.4,51-70 years,Female,Hyderabad,,,,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology
20:43.5,36-50 years,Female,Bengaluru,,,,Yes,Once a week,Unsatisfied,Increased safety and security,Yes,Increased programming and events,Walking trails,Crowding and noise,Sometimes,Electric vehicle charging stations,Dissatisfied,Monthly,Neutral,E book access,Increase transparency
25:14.3,10-18 years,Male,Hyderabad,,,,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Improved lighting and safety,Restrooms,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
26:02.3,18-35 years,Female,Hyderabad,,,,No,Never,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Very Satisfied,Never,Satisfied,Language learning programs,Improve customer service
33:41.0,51-70 years,Male,kanakapura,,,,No,A few times a week,Satisfied,Reduced fares or free transfers,Yes,More amenities,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Very dissatisfied,Never,Very Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service
34:09.7,36-50 years,Male,Bengaluru,,,,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Lack of amenities,No,Electric vehicle charging stations,Very dissatisfied,Quarterly,Very Dissatisfied,E book access,Improve customer service
41:39.6,51-70 years,Female,mysuru,,,,No,Once a week,Satisfied,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Weekly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
56:12.0,18-35 years,Male,Hyderabad,,,,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
56:31.3,18-35 years,Male,mysuru,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Very Satisfied,E book access,Increase transparency
56:53.8,36-50 years,Female,mysuru,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
57:14.1,18-35 years,Male,Bengaluru,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Improve customer service
57:32.0,18-35 years,Male,chennai,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Neutral,Rarely,Neutral,E book access,Increase transparency
57:48.4,36-50 years,Male,mysuru,,,,No,Once a week,Satisfied,More frequent buses/trains,No,Improved lighting and safety,Playgrounds,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
58:18.5,36-50 years,Female,palamaner,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Rarely,Satisfied,Language learning programs,Improve customer service
58:40.3,18-35 years,Male,Hyderabad,,,,Yes,Never,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Safety and security,No,Public restrooms,Very Satisfied,Quarterly,Neutral,E book access,Enhance community engagement
58:56.3,36-50 years,Male,kanakapura,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,E book access,Improve customer service
59:23.3,18-35 years,Male,mysuru,,,,No,Once a week,Neutral,Reduced fares or free transfers,Yes,More amenities,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Dissatisfied,Rarely,Neutral,E book access,Improve customer service
59:47.2,18-35 years,Male,Hyderabad,,,,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Playgrounds,Accessibility and inclusivity,Yes,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Invest in technology
06:59.3,36-50 years,Male,chennai,,,,No,A few times a week,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Weekly,Dissatisfied,Language learning programs,Invest in technology
07:12.3,51-70 years,Female,Bengaluru,,,,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Crowding and noise,Yes,Electric vehicle charging stations,Satisfied,Weekly,Neutral,Language learning programs,Increase transparency
07:18.6,36-50 years,Female,Hyderabad,,,,No,Never,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Sports facilities,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Enhance community engagement
11:52.5,51-70 years,Female,Tirupati,,,,No,A few times a week,Neutral,Increased safety and security,Sometimes,More amenities,Picnic area,Lack of amenities,Yes,Sports equipment rentals,Very Satisfied,Monthly,Dissatisfied,E book access,Increase transparency
12:08.6,51-70 years,Female,Andhra pradesh,,,,No,Once a week,Neutral,More frequent buses/trains,No,Increased programming and events,Walking trails,Crowding and noise,No,Public restrooms,Dissatisfied,Rarely,Dissatisfied,E book access,Invest in technology
52:21.8,36-50 years,Male,kanakapura,,,,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Monthly,Satisfied,E book access,Improve customer service
54:43.4,18-35 years,Female,chennai,,,,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Satisfied,Quarterly,Very Dissatisfied,Language learning programs,Improve customer service
55:22.2,18-35 years,Female,palamaner,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Monthly,Very Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
55:59.3,36-50 years,Female,kanakapura,,,,No,A few times a week,Very unsatisfied,Increased safety and security,Yes,Increased programming and events,Walking trails,Crowding and noise,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
57:21.6,18-35 years,Female,chennai,,,,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Monthly,Neutral,Language learning programs,Invest in technology
